Entity Type,Entity Name,Entity Display Name,Entity Description,Event Volume,Event Query Volume,Event Tags,Event Hidden,Event Dropped,Event First Queried By,Event First Queried,Event Last Queried By,Event Last Queried,Property Name,Property Display Name,Property Description,Property Volume,Property Query Volume,Property Type,Property Example Values,Property Hidden,Property Dropped,Property Required,Property Sensitive
event,Page Viewed,페이지 조회,"사용자가 특정 페이지(PA, Stream, 연습 등)에 진입했을 때",,,,False,False,,,,,,,,,,,,,,,
event,Sign Up Completed,회원가입 완료,새로운 사용자가 회원가입을 마쳤을 때,,,,False,False,,,,,,,,,,,,,,,
event,Login Success,로그인 성공,사용자가 로그인을 완료했을 때,,,,False,False,,,,,,,,,,,,,,,
event,Logout Completed,로그아웃 완료,사용자가 로그아웃을 했을 때,,,,False,False,,,,,,,,,,,,,,,
event,Problem Viewed,문제 상세 조회,사용자가 문제 상세 페이지(지문/스키마 탭)를 확인했을 때,,,,False,False,,,,,,,,,,,,,,,
event,Problem Attempted,문제 풀이 시도,사용자가 쿼리를 처음 입력하거나 실행했을 때 (최초 시도),,,,False,False,,,,,,,,,,,,,,,
event,SQL Executed,SQL 실행,사용자가 '실행' 버튼을 눌러 결과 미리보기를 수행했을 때,,,,False,False,,,,,,,,,,,,,,,
event,SQL Error Occurred,SQL 에러 발생,쿼리 실행 중 문법 오류나 런타임 에러가 발생했을 때,,,,False,False,,,,,,,,,,,,,,,
event,Problem Submitted,문제 제출,사용자가 '제출' 버튼을 눌러 정답 판정을 요청했을 때,,,,False,False,,,,,,,,,,,,,,,
event,Problem Solved,문제 정답 해결 (⭐ 핵심),제출한 쿼리가 정답 판정을 받았을 때 (North Star Metric),,,,False,False,,,,,,,,,,,,,,,
event,Problem Failed,문제 오답 발생,제출한 쿼리가 오답 판정을 받았을 때,,,,False,False,,,,,,,,,,,,,,,
event,Hint Requested,힌트 요청,사용자가 도움말이나 힌트 버튼을 클릭했을 때,,,,False,False,,,,,,,,,,,,,,,
event,Onboarding Started,온보딩 시작,튜토리얼이 시작되었을 때,,,,False,False,,,,,,,,,,,,,,,
event,Onboarding Completed,온보딩 완료,튜토리얼을 끝까지 완료했을 때,,,,False,False,,,,,,,,,,,,,,,
event,Onboarding Skipped,온보딩 건너뛰기,튜토리얼 도중 건너뛰기 버튼을 눌렀을 때,,,,False,False,,,,,,,,,,,,,,,
event,Tab Changed,탭 전환,문제/스키마 탭 간의 전환이 일어날 때,,,,False,False,,,,,,,,,,,,,,,
event,Schema Viewed,스키마 상세보기,테이블 명계를 확인했을 때,,,,False,False,,,,,,,,,,,,,,,
